,id,utterance,speaker,context,context_speakers,show,sarcasm
0,1_60,"['privilege', 'watch', 'mind', 'work']",sheldon,"[['never', 'would', 'identify', 'fingerprint', 'string', 'theory', 'aftermath', 'big', 'bang'], ['apology', 'whats', 'plan']]","['leonard', 'sheldon']",0,1
1,1_70,"['dont', 'think', 'ill', 'able', 'stop', 'think']",penny,"[['one', 'favorite', 'place', 'kick', 'back', 'quest', 'great', 'house', 'ale'], ['cool', 'tiger'], ['yeah', 'ive', 'since', 'level', 'ten'], ['name', 'button'], ['anyway', 'game', 'character', 'could', 'hang', 'maybe', 'go', 'quest'], ['sound', 'interest'], ['youll', 'think']]","['howard', 'penny', 'howard', 'howard', 'howard', 'penny', 'howard']",0,1
2,1_80,"['since', 'bee', 'season', 'epinephrine']",sheldon,"[['go', 'pad', 'thai', 'peanut'], ['peanut', 'oil'], ['im', 'sure', 'everyone', 'keep', 'eye', 'howard', 'case', 'start', 'swell']]","['leonard', 'howard', 'leonard']",0,0
3,1_90,"['lois', 'lane', 'fall', 'accelerate', 'initial', 'rate', 'foot', 'per', 'second', 'per', 'second', 'superman', 'swoop', 'save', 'reach', 'two', 'arm', 'steel', 'miss', 'lane', 'travel', 'approximately', 'mile', 'hour', 'hit', 'immediately', 'slice', 'three', 'equal', 'piece']",sheldon,"[['marathon', 'many', 'superman', 'movie'], ['youre', 'kid', 'right'], ['like', 'one', 'lois', 'lane', 'fall', 'helicopter', 'superman', 'swoosh', 'catch', 'one'], ['one'], ['realize', 'scene', 'rife', 'scientific', 'inaccuracy'], ['yes', 'know', 'men', 'cant', 'fly'], ['let', 'assume']]","['penny', 'sheldon', 'penny', 'sheldon', 'sheldon', 'penny', 'sheldon']",0,0
4,1_105,"['im', 'infer', 'couch', 'evidence', 'suggests', 'coffee', 'table', 'tiny', 'garage', 'sale']",sheldon,"[['great', 'caesar', 'ghost', 'look', 'place'], ['penny', 'little', 'messy'], ['little', 'messy'], ['mandelbrot', 'set', 'complex', 'number', 'little', 'messy', 'chaos'], ['excuse'], ['explain', 'organizational', 'system', 'tray', 'flatware', 'couch', 'valid']]","['sheldon', 'leonard', 'sheldon', 'sheldon', 'sheldon', 'sheldon']",0,1
5,1_162,"['sheldon', 'robot', 'knew', 'didnt']",howard,"[['hand', 'arousal'], ['none'], ['none'], ['thank', 'time'], ['thank'], ['none']]","['person', 'leonard', 'person', 'leonard', 'person', 'leonard']",0,0
6,1_175,"['youre', 'compile', 'mix', 'cd', 'double', 'suicide', 'oh', 'hope', 'scratch', 'post']",sheldon,"[['oh', 'good', 'lord'], ['god', 'thats', 'good', 'song']]","['sheldon', 'leonard']",0,1
7,1_182,"['dark', 'crescentshaped', 'pattern', 'arm', 'conceal', 'nicely']",sheldon,"[['look'], ['could', 'specific'], ['tell', 'im', 'perspire', 'little']]","['leonard', 'sheldon', 'leonard']",0,1
8,1_213,"['hows', 'pleased', 'meet', 'dr', 'gablehauser', 'fortunate', 'university', 'chosen', 'hire', 'despite', 'fact', 'youve', 'do', 'original', 'research', 'year', 'instead', 'write', 'series', 'popular', 'book', 'reduce', 'great', 'concept', 'science', 'series', 'anecdote', 'one', 'dumbed', 'accommodate', 'duration', 'average', 'bowel', 'movement']",sheldon,"[['know', 'go', 'enjoy', 'party'], ['know', 'im', 'familiar'], ['last', 'department', 'party', 'professor', 'finkleday', 'corner', 'talk', 'spelunk', 'minute'], ['yes'], ['know', 'whats', 'interest', 'cave'], [''], ['nothing'], ['well', 'avoid', 'well', 'meet', 'new', 'department', 'head', 'congratulate', 'shake', 'hand', 'go']]","['sheldon', 'leonard', 'sheldon', 'leonard', 'sheldon', 'leonard', 'sheldon', 'leonard']",0,1
9,1_276,"['yeah', 'parent', 'felt', 'name', 'leonard', 'put', 'advanced', 'placement', 'class', 'wasnt', 'get', 'beaten', 'enough']",leonard,"[['switch', 'highenergy', 'radiation', 'research', 'little', 'mishap', 'guy', 'uncomfortable', 'sit', 'next'], ['youre'], ['yeah', 'sure'], ['great', 'rehearse', 'tuesday', 'place'], ['place'], ['department', 'energy', 'say', 'regular', 'space', 'kind', 'hot', 'zone'], ['nice', 'meeting'], ['yeah', 'leonard', 'didnt', 'know', 'played', 'cello']]","['person', 'person', 'leonard', 'person', 'leonard', 'person', 'person', 'penny']",0,1
10,1_340,"['sure', 'cut', 'foreigner', 'half', 'there', 'billion', 'come']",raj,"[['cannot', 'believe', 'people', 'pay', 'horoscope', 'serious', 'note', 'still', 'play', 'halo'], ['fine', 'well', 'play', 'oneonone', 'get', 'back'], ['oneonone', 'dont', 'play', 'oneonone'], ['play', 'team', 'oneonone'], ['oneonone'], ['way', 'play', 'team', 'point', 'cut', 'raj', 'half']]","['sheldon', 'leonard', 'sheldon', 'sheldon', 'sheldon', 'leonard']",0,1
11,1_410,"['leonard', 'may', 'present', 'live', 'new', 'delhi', 'dr', 'mr', 'v', 'koothrappali']",raj,"[['really', 'need', 'honorary', 'justice', 'league', 'american', 'membership', 'card'], ['every', 'wallet', 'ive', 'own', 'since', 'five'], [''], ['say', 'keep', 'person', 'time'], ['right', 'batman', 'signature'], ['leonard', 'sheldons', 'apartment'], ['guess', 'whose', 'parent', 'get', 'broadband']]","['leonard', 'sheldon', 'leonard', 'sheldon', 'sheldon', 'raj', 'howard']",0,0
12,1_427,"['well', 'im', 'sorry', 'there', 'room', 'wallet']",sheldon,"[['dr', 'sheldon', 'cooper'], ['yeah', 'need', 'cancel', 'membership', 'planetarium']]","['sheldon', 'sheldon']",0,1
13,1_430,"['ive', 'get', 'feeler', 'meantime', 'listen']",raj,"[['museum', 'natural', 'history', 'frankly', 'dont', 'dinosaur'], ['ill', 'miss', 'byebye'], ['okay', 'know', 'youre', 'texting', 'id', 'really', 'like', 'stop'], ['oh', 'dear', 'rightly', 'truly', 'screw'], ['hey', 'thought', 'find', 'new', 'friend']]","['sheldon', 'sheldon', 'sheldon', 'raj', 'leonard']",0,0
